Cod. Art.,Descrizione,Classe Merc.,Giacenza,PPC,Nè1R
000606,Harris riduttore per bombole ossigeno e posti presa,100-001 Prodotti sanitari,5,14,
000608,Piastra per i capelli,050-002 Piccoli elettrodomestici,4,7,
000629,Pop Beat batteria giocattolo,070-001 Giochi e giocattoli,1,"2,8",
000635,Pressa da stiro Singer Esp2,040-002 Arredamento e oggettistica,1,112,
000636,Manichino bianco Mat per vetrina,040-002 Arredamento e oggettistica,7,210,
000647,Pesi fitness,090-002 Fitness e palestra,3,7,
000653, Fitness Manubrio,090-002 Fitness e palestra,1,"9,8",
000655,Accessori fitness 2 €,090-002 Fitness e palestra,16,"2,8",
000656,Disco peso palestra fitness,090-002 Fitness e palestra,5,"2,8",
000658,Materasso Intex,040-002 Arredamento e oggettistica,1,28,
000659,Appendiabiti  parete,040-002 Arredamento e oggettistica,1,"9,8",
000664,Garrett metal detector deluxe,090-004 Attrezzature sportive,1,"33,6",
000666,Singer Esp2 stira professional,050-001 Grandi elettrodomestici,1,140,
000667,Riduttori per fornelli Basic,040-002 Arredamento e oggettistica,609,"0,35",
000671,Batteria Ricaricabile Ermetica al Piombo SKB 12v 18ah,080-004 Ricambi,3,28,
000674,Supporti per tende 35 mm,040-002 Arredamento e oggettistica,1,7,
000680,Gabbia per polli antitopo,040-007 Tutto per gli animali domestici,1,56,
000681,Tazza decorata 3 €,040-002 Arredamento e oggettistica,1,"4,2",
000682,Applique bianca Faneurope 38cm,040-001 Illuminazione,5,28,
000691,Vassoio Mera,040-002 Arredamento e oggettistica,1,42,
000693,Svuotatasche 5 €,040-002 Arredamento e oggettistica,2,7,
000695,Vassoio Acciaio Inox Mepra,040-002 Arredamento e oggettistica,4,98,
000698,Set 4 sedie bianche Tuoni,040-002 Arredamento e oggettistica,3,182,
000700,Foppapedretti passeggino più leggero,070-093 Prima infanzia,1,84,
000721,Custodie varie cover cellulare,030-001 Telefonia,23,"1,4",
000722,Pellicole protettive per tablet e cellulare,030-001 Telefonia,249,"1,4",
000724,Cd musicali vari (2 €),020-001 CD e vinili,43,"2,8",
000725,Dvd vari (1€),020-002 DVD e blue ray,323,"1,4",
000726,Dischi vinile vari,020-001 CD e vinili,112,"5,6",
000737,Modellino Abarth scala 1/43,070-001 Giochi e giocattoli,#N/A,"9,8",
000749,Rocchetti filo,040-002 Arredamento e oggettistica,129,"2,8",
000760,"Anelli vari 0,50 cent",110-002 Accessori abbigliamento,775,"0,7",
000763,Pouf contenitore,040-002 Arredamento e oggettistica,1,28,
000765,Copertura isotermica piscina 3x5,090-004 Attrezzature sportive,1,28,
000766,Riproduzioni stampe d'epoca varie misure,040-002 Arredamento e oggettistica,4,"1,4",
000767,Tappeto vinile Huella Deco,040-002 Arredamento e oggettistica,3,56,
000773,Action Figure 10 €,070-001 Giochi e giocattoli,1,14,Nè1R
000777,Statuetta in legno,040-002 Arredamento e oggettistica,2,14,
000778,Portacandele,040-002 Arredamento e oggettistica,8,"2,1",
000779,Posacenere in ceramica,040-002 Arredamento e oggettistica,1,"3,5",
000785,Tazza colore bianco,040-002 Arredamento e oggettistica,32,"0,7",
000787,Portacandele vetro,040-002 Arredamento e oggettistica,1,"4,2",
000790,Tortiera silicone,040-003 Bagno e cucina,1,"4,2",
000792,Costume e accessori natale 5 €,040-002 Arredamento e oggettistica,16,7,
000802,Tazza Orca Coatings,040-002 Arredamento e oggettistica,157,"1,4",
000806,Scrivania asilo ripiano rosso,040-002 Arredamento e oggettistica,1,70,
000816,Media range blu ray,020-002 DVD e blue ray,2,7,
000819,Teiera mini,040-002 Arredamento e oggettistica,1,7,
000821,Accendino Turbo VFlame,040-002 Arredamento e oggettistica,6,7,
000836,Coppia sgabelli Domus,040-002 Arredamento e oggettistica,1,112,
000837,Apribottiglie Chinò Sanpellegrino,040-002 Arredamento e oggettistica,94,"2,8",
000843,Deumidificatore d'aria,050-002 Piccoli elettrodomestici,1,"30,8",
000849,Custodia per cuscini Tostero,040-006 Giardino e giardinaggio,1,"16,8",
000873,Scrivania,040-002 Arredamento e oggettistica,1,35,
000875,Taglierina Cutcoaster,120-002 Ufficio,44,"4,2",
000878,Pecora a dondolo,070-001 Giochi e giocattoli,1,56,
000886,Racchetta Badminton Yonex Duora 77,090-004 Attrezzature sportive,1,63,
000887,Fascia cintura massaggiante Gym Dual,090-002 Fitness e palestra,1,"9,8",
000888,Frecce per tiro con arco,090-004 Attrezzature sportive,1,42,
000891,Rubinetto Gruppo monoforo bidet Paffoni,060-002 Ferramenta,1,35,
000892,Gruppo lavabo scarico Paffoni,040-003 Bagno e cucina,1,"39,2",
000894,Specchio Tomasucci,040-002 Arredamento e oggettistica,1,140,
000895,Gioco da tavolo 10 €,070-002 Giochi di società,39,14,Nè1R
000896,Garmont radium scarponi da sci coppia,090-003 Abbigliamento sportivo,2,126,
000898,Quadri varie misure,040-002 Arredamento e oggettistica,3,"9,8",
000901,Pallone calcio,090-004 Attrezzature sportive,2,7,
000905,Pompa con Adattatore,090-004 Attrezzature sportive,1,"2,8",
000907,Cd Chorzempa Concerto Amsterdam,020-001 CD e vinili,2,14,
000909,Cd  Beatles Sgt. Pepper's Lonely Heart,020-001 CD e vinili,1,14,
000916,Verbatim CD-R 100 pezzi,030-006 Accessori elettronica,1,14,
000919,Salvimar fucile subaqueo,090-004 Attrezzature sportive,1,42,
000920,Spare Parts Kit B1367,090-004 Attrezzature sportive,1,"8,4",
000921,Scientific Anglers Mastery series,090-004 Attrezzature sportive,2,21,
000924,Colla stick colla 21,120-001 Scuola,3,"0,7",
000928,Brevi Soft & Play Mondo Circo,070-093 Prima infanzia,1,84,
000930,Classificatori rexel dox ufficio,120-002 Ufficio,5,7,
000933,Unità interna DVD-CD RW,030-006 Accessori elettronica,1,14,
000941,Copriauto felpato,080-001 Accessori auto,1,"19,6",
000950,Continental copertone bici,090-001 Ciclismo,1,21,
000953,Cerchioni per bici,090-001 Ciclismo,2,14,
000959,Termosifone da parete bianco Optiline,040-002 Arredamento e oggettistica,#N/A,84,
000971,Giocattoli vari 3 €,070-001 Giochi e giocattoli,14,"4,2",
000973,Tenda da campeggio pop-up,090-004 Attrezzature sportive,#N/A,21,
000974,Borsa da tennis,090-004 Attrezzature sportive,2,28,
000981,Bambole vario tipo,070-001 Giochi e giocattoli,4,7,
000983,Barra allenamento con grip,090-002 Fitness e palestra,1,"4,2",
000990,"Decorazione casa 0,50 €",040-002 Arredamento e oggettistica,5,"0,7",
000996,Portacandele in legno,040-002 Arredamento e oggettistica,2,"4,2",
001000,Appendiabiti multistrato,040-002 Arredamento e oggettistica,4,"4,2",
001003,quaderni piccoli vari,120-001 Scuola,56,"0,14",
001005,Borsello  vari colori e modelli,110-002 Accessori abbigliamento,1,"1,4",
001007,Tovaglioli carta,040-003 Bagno e cucina,21,"1,4",
001014,Racchetta ping pong,090-004 Attrezzature sportive,12,"4,2",
001015,Cravatta/papillon,110-002 Accessori abbigliamento,1,"2,8",
001018,Tazza colazione Reo,040-002 Arredamento e oggettistica,20,"1,4",
001028,Servizio piatti,040-002 Arredamento e oggettistica,1,14,
001031,Cuscino per lettino,110-001 Abbigliamento e scarpe,#N/A,"2,8",
001032,Tovaglia,040-002 Arredamento e oggettistica,1,7,
001033,Lettino/materassino da campeggio,040-002 Arredamento e oggettistica,#N/A,14,
001034,Set applique luce,040-001 Illuminazione,2,7,
001036,Carta da parati,040-002 Arredamento e oggettistica,2,"2,8",
001060,Borsa termica 2 €,040-002 Arredamento e oggettistica,2,"2,8",
001061,cartellina in plastica,120-001 Scuola,1,"1,4",
001062,Casalinghi utensili da cucina vari,040-002 Arredamento e oggettistica,7,"1,4",
001065,Giocattoli vari 2 €,070-001 Giochi e giocattoli,94,"2,8",
001072,Set tazze con piattini da caffè,040-002 Arredamento e oggettistica,1,"8,4",
001073,Vasetti mini piccoli in vetro con tappo,040-002 Arredamento e oggettistica,10,"0,7",
001076,Cuscino poggiatesta per neonati e bambini,070-093 Prima infanzia,2,7,
001085,Big track ball mouse per disabili,030-006 Accessori elettronica,1,70,
001086,Spugnetta cosmetica,100-002 Igiene personale,4,"2,8",
001087,Centro Power Light,030-006 Accessori elettronica,34,"2,8",
001089,Apparecchio per aerosol,100-001 Prodotti sanitari,2,"22,4",
001090,gima termotreto ecologico senza mercurio,100-005 Salute e cura della persona,10,7,
001091,Materassi vari,040-002 Arredamento e oggettistica,4,28,
001093,Gilbert paradenti junior sport,090-004 Attrezzature sportive,2,"2,8",
001094,Cotton fiocc,100-002 Igiene personale,1,"2,8",
001099,interphone xt per moto,080-002 Accessori moto,2,"32,2",
001102,Lindy Usb Cavo 2.0,030-006 Accessori elettronica,2,"5,6",
001103,Ritto postazione citofono,030-006 Accessori elettronica,1,42,
001105,Cavo di rete,030-006 Accessori elettronica,1,"4,2",
001106,Kmoon wireless headset,030-001 Telefonia,1,14,
001107,Cronotermostato digitale,030-006 Accessori elettronica,4,"19,6",
001110,Nikon batteria litio ricaricabile,030-002 Foto e videocamere,1,"17,5",
001111,Convertitore usb per joypad,030-006 Accessori elettronica,79,"4,2",
001118,Spine performance PRO fascia lombare,100-005 Salute e cura della persona,1,"11,2",
001123,Rete pieghevole con materasso,040-002 Arredamento e oggettistica,#N/A,28,
001124,Guanti /manicotti/scaldamuscoli 1 €,110-002 Accessori abbigliamento,16,"1,4",
001128,Lamette vario tipo,100-002 Igiene personale,1,"1,4",
001131,Money Vision per controllo banconote,030-006 Accessori elettronica,1,70,
001133,Valigia trolley piccola,110-002 Accessori abbigliamento,1,14,
001134,Nastro kinesiologico,090-004 Attrezzature sportive,2,"2,8",
001135,"Decorazioni natalizie 3,50 €",040-002 Arredamento e oggettistica,1,"4,9",
001136,Actiontec trasmettitore wireless,030-006 Accessori elettronica,1,49,
001138,Zimmer Lps-Flex ginocchio,130-001 Ospedaliere,1,"11,2",
001139,Henkel Loctite valvola stazionaria,030-006 Accessori elettronica,2,140,
001140,Deambulatore adulti,100-005 Salute e cura della persona,1,28,
001141,Stampelle ortopediche,100-001 Prodotti sanitari,1,14,
001142,Zimmer+tibial+component,130-001 Ospedaliere,1,"19,6",
001144,Spazzola universale aspirapolvere con raccordi,040-002 Arredamento e oggettistica,7,"8,4",
001145,Raccordo tubi dritto doppio,060-002 Ferramenta,4,"2,8",
001147,Reskal LD25 banconote,030-006 Accessori elettronica,1,28,
001148,Bastone da passeggio mistercanne,100-005 Salute e cura della persona,1,14,
001149,Filamento per stampante 3d + pla colori vari,030-009 Stampanti e cartucce,1,14,
001150,Asta porta microfono,030-006 Accessori elettronica,2,14,
001154,Elips-C double kit black,030-006 Accessori elettronica,1,70,
001155,AirLomb fascia gonfiabile per addome,090-002 Fitness e palestra,3,28,
001156,Rdx Giant Inside cintura sport,090-002 Fitness e palestra,1,14,
001157,Mobiletto bianco,040-003 Bagno e cucina,1,14,
001158,Accessori per irrigazione e giardinaggio,040-006 Giardino e giardinaggio,12,"1,4",
001160,Sigaretta elettronica Nooby One,030-006 Accessori elettronica,1,35,
001161,Manopole per bicicletta,090-001 Ciclismo,1,7,
001164,Manubri pesi,090-002 Fitness e palestra,2,"9,8",
001167,Lampa controller switch,030-006 Accessori elettronica,1,"11,2",
001169,Macchina fotografica,030-002 Foto e videocamere,1,7,
001172,Modular Plus busto ortopedico,100-001 Prodotti sanitari,3,35,
001173,Busto per ipertensione Prim,100-001 Prodotti sanitari,1,70,
001174,Askoll M50 pompa di scarico Bosh lavatrici,060-002 Ferramenta,23,"11,2",
001178,Aspiratore per limatura delle unghie,100-005 Salute e cura della persona,1,"9,8",
001179,Tastiera wireless techmade,030-006 Accessori elettronica,1,7,
001180,Tiemme raccordo maschio femmina curvo box gas,060-002 Ferramenta,9,14,
001194,Valvole olio motore,080-001 Accessori auto,5,"4,2",
001195,Switch di temperatura 120°,080-001 Accessori auto,14,7,
001196,Sender temperatura 150°,080-001 Accessori auto,5,7,
001197,Videocassette vari titoli,030-003 TV e home cinema,75,"1,4",
001198,Carrover Xenon X9,080-001 Accessori auto,1,35,
001200,Sangenic sacchetti mangia pannolini,100-001 Prodotti sanitari,9,"4,2",
001201,Lampada magnifier fluorescent lamp,100-005 Salute e cura della persona,1,42,
001203,Biologic Sp300 sistema biomedico,130-001 Ospedaliere,1,0,
001205,Aqua-Win membrane,060-002 Ferramenta,22,"3,5",
001209,Miscelatore Doccia Fima Zeta Carlo Frattini Cromo,060-002 Ferramenta,1,70,
001210,Fima Zeta Carlo Frattini Parte esterna cromo F3969X2CR,040-003 Bagno e cucina,1,70,
001211,MIscelatore Lavello Fima Zeta Carlo Frattini,040-003 Bagno e cucina,1,70,
001213,Silamp Led 3W Gu10,030-006 Accessori elettronica,7,"1,4",
001214,Telectronics welwyn,030-006 Accessori elettronica,1,42,
001216,Armadio Diy Cube Storage Cabinet,040-002 Arredamento e oggettistica,1,14,
001217,Tendine a rollo per finestre,040-002 Arredamento e oggettistica,2,7,
001218,Scatola braccialetti luminosi,030-006 Accessori elettronica,1,"1,4",
001219,Rotoli per scontrini,120-002 Ufficio,20,7,
001221,Upright pompa acqua UP 8000,060-002 Ferramenta,8,21,
001222,Eaton NZM2 interruttore automatico A200,030-006 Accessori elettronica,1,70,
001224,Torcia tascabile uv Transitions,040-001 Illuminazione,29,7,
001226,Tenda Roll-up screen,040-002 Arredamento e oggettistica,1,14,
001227,Modem ADSL fastweb mod. VV 2222,030-001 Telefonia,1,14,
001228,Fastweb modem Adsl e voce,030-001 Telefonia,1,14,
001230,Vibro Star Vibromassaggiatore a fasce,090-002 Fitness e palestra,2,56,
001235,Innovair Flex sensore,030-006 Accessori elettronica,5,21,
001239,Monitor LCD MultiSync Nec 3210,030-003 TV e home cinema,1,70,
001240,Faretti Thorn,040-001 Illuminazione,7,28,
001241,Lampadine uv-9w 365 nm,040-001 Illuminazione,13,"2,8",
001242,Fanatic Ripper X vela per surf,090-004 Attrezzature sportive,1,210,
001243,Lampadine Philips pro 425409,040-001 Illuminazione,8,"1,4",
001244,Vibro Fit Energy,090-002 Fitness e palestra,1,56,
001246,Portamonete - portacard- passaporto,110-002 Accessori abbigliamento,75,"0,7",
001249,Variolux vibromassaggiatore con facie,090-002 Fitness e palestra,1,70,
001250,Valvola refrigerante,060-002 Ferramenta,6,7,
001251,Elite group PF88 extreme sheda madre PC,030-007 PC portatili e tablet,1,70,
001253,Telo per tavolo medico portastrumenti Raucodrape,130-001 Ospedaliere,2,56,
001254,Ventilatore a disco ad alte prestazioni,030-006 Accessori elettronica,2,"5,6",
001257,Barra di protezione bagno per persone con difficolta motoria,040-003 Bagno e cucina,1,21,
001259,Fimet manometro,060-002 Ferramenta,46,"2,8",
001262,Cappa estraibile aspirante Faber,040-003 Bagno e cucina,1,28,
001267,Lampade a led per vetrine negozi 1.20mt.,040-001 Illuminazione,24,7,
001272,Onkron supporto adattatore per monitor,030-003 TV e home cinema,1,"8,4",
001274,Sacco da boxe,090-004 Attrezzature sportive,2,21,
001276,Drager supporto per bombola di ossigeno sub,090-004 Attrezzature sportive,2,"18,2",
001280,Rete di protezione per agricoltura Silonet 300,040-006 Giardino e giardinaggio,1,49,
001283,Staffa porta Tv,030-003 TV e home cinema,1,21,
001290,Mulinello 12 €,090-004 Attrezzature sportive,4,"16,8",
001291,Flex Bar barra flessibile per esercizi in palestra,090-002 Fitness e palestra,1,14,
001301,Vassoio  in acciaio,040-002 Arredamento e oggettistica,1,7,
001310,Bicchieri in plastica/carta,040-002 Arredamento e oggettistica,6,"0,7",
001320,Fishing bag per canne tipo bolognese 1.70mt,090-004 Attrezzature sportive,2,21,
001322,Gerardix milo manico telescopico guadino MT 4,090-004 Attrezzature sportive,1,28,
001323,Canna da pesca 10 €,090-004 Attrezzature sportive,4,14,
